Tanggal,Terakhir
2020-12-11,5938.3291
2020-12-14,6012.5161
2020-12-15,6010.1279
2020-12-16,6118.4019
2020-12-17,6113.3818
2020-12-18,6104.3242
2020-12-21,6165.6240
2020-12-22,6023.2891
2020-12-23,6008.7090
2020-12-28,6093.5542
2020-12-29,6036.1738
2020-12-30,5979.0732
2021-01-04,6104.8979
2021-01-05,6137.3428
2021-01-06,6065.6821
2021-01-07,6153.6328
2021-01-08,6257.8350
2021-01-11,6382.9370
2021-01-12,6395.6689
2021-01-13,6435.2051
2021-01-14,6428.3149
2021-01-15,6373.4121
2021-01-18,6389.8340
2021-01-19,6321.8560
2021-01-20,6429.7578
2021-01-21,6413.8921
2021-01-22,6307.1270
2021-01-25,6258.5718
2021-01-26,6140.1709
2021-01-27,6109.1680
2021-01-28,5979.3872
2021-01-29,5862.3521
2021-02-01,6067.5449
2021-02-02,6043.8408
2021-02-03,6077.7451
2021-02-04,6107.2158
2021-02-05,6151.7290
2021-02-08,6208.8662
2021-02-09,6181.6719
2021-02-10,6201.8281
2021-02-11,6222.5210
2021-02-15,6270.3242
2021-02-16,6292.3960
2021-02-17,6227.7280
2021-02-18,6200.3081
2021-02-19,6231.9321
2021-02-22,6255.3120
2021-02-23,6272.8071
2021-02-24,6251.0542
2021-02-25,6289.6460
2021-02-26,6241.7959
2021-03-01,6338.5132
2021-03-02,6359.2051
2021-03-03,6376.7568
2021-03-04,6290.7988
2021-03-05,6258.7490
2021-03-08,6248.4648
2021-03-09,6199.6470
2021-03-10,6264.6792
2021-03-12,6358.2090
2021-03-15,6324.2588
2021-03-16,6309.6992
2021-03-17,6277.2280
2021-03-18,6347.8291
2021-03-19,6356.1602
2021-03-22,6301.1309
2021-03-23,6252.7119
2021-03-24,6156.1401
2021-03-25,6122.8760
2021-03-26,6195.5620
2021-03-29,6166.8179
2021-03-30,6071.4419
2021-03-31,5985.5220
2021-04-01,6011.4561
2021-04-05,5970.2861
2021-04-06,6002.7700
2021-04-07,6036.6162
2021-04-08,6071.7241
2021-04-09,6070.2090
2021-04-12,5948.5688
2021-04-13,5927.4351
2021-04-14,6050.2759
2021-04-15,6079.5010
2021-04-16,6086.2578
2021-04-19,6052.5400
2021-04-20,6038.3218
2021-04-21,5993.2422
2021-04-22,5994.1841
2021-04-23,6016.8638
